,Mean,Median,Std
SUPRAJIT.NS,194.839772727,194.025,5.29186057254
SUPREMEIND.NS,909.590909091,904.975,34.85787301
SUVEN.NS,174.240909091,174.65,5.31137735309
SUZLON.NS,15.35,15.1,1.26949907719
SWANENERGY.NS,171.845454545,170.95,13.2331499624
SYMPHONY.NS,1216.27954545,1192.55,63.0439190935
SYNDIBANK.NS,65.4045454545,64.75,3.61393971362
SYNGENE.NS,568.559090909,569.2,27.6276030505
TAKE.NS,139.714772727,140.075,3.84800733007
TATACHEM.NS,515.779545455,512.275,27.9269069183
TATACOFFEE.NS,118.620454545,116.275,5.3904450153
TATACOMM.NS,667.984090909,646.525,49.4977433979
TATAELXSI.NS,1432.59318182,1428.7,52.1448157816
TATAGLOBAL.NS,127.336363636,125.175,6.91406019136
TATAMOTORS.NS,502.020454545,509.825,29.1432375142
TATAMTRDVR.NS,317.463636364,320.3,17.2330684132
TATAPOWER.NS,77.8715909091,77.575,2.36857816557
TATASPONGE.NS,595.325,601.15,24.7946203374
TATASTEEL.NS,435.3625,439.125,31.1684529035
TCS.NS,2294.24545455,2299.4,51.7032282944
TECHM.NS,475.582954545,474.3,10.1096772841
TECHNO.NS,328.672727273,339.925,26.0710153917
TEXRAIL.NS,109.411363636,111.05,5.38559516735
THERMAX.NS,807.273863636,810.3,34.1958526124
THOMASCOOK.NS,190.384090909,190.65,5.24805360074
TIDEWATER.NS,5826.41022727,5849.35,248.938067057
TIMKEN.NS,616.627272727,620.8,26.6742438583
TITAN.NS,352.222727273,359.8,29.9097507912
TNPL.NS,342.664772727,341.9,8.93183865772
TORNTPHARM.NS,1310.22159091,1305.65,27.2585113606
TORNTPOWER.NS,186.917045455,185.925,10.3855385993
TRENT.NS,215.775,201.6,22.8555079617
TRIDENT.NS,62.5272727273,60.575,5.12605581348
TRITURBINE.NS,118.922727273,118.825,3.31614189084
TTKPRESTIG.NS,5684.975,5682.875,194.820382541
TUBEINVEST.NS,579.280681818,575.95,12.9943333621
TV18BRDCST.NS,37.4352272727,37.25,1.12278617036
TVSMOTOR.NS,381.134090909,382.475,12.0899139817
TVSSRICHAK.NS,3252.85227273,3228.075,72.7560554137
TVTODAY.NS,271.027272727,272.3,7.79444834143
UBL.NS,805.238636364,808.275,21.2819605443
UCOBANK.NS,34.2556818182,33.975,1.16250610947
UFLEX.NS,271.417045455,273.75,8.79553892727
ULTRACEMCO.NS,3417.975,3359.925,218.781058526
UNICHEMLAB.NS,268.429545455,270.075,7.52280500461
UNIONBANK.NS,138.236363636,138.225,12.5320025852
UNITECH.NS,4.67613636364,4.55,0.661173079789
UPL.NS,687.607954545,681.8,43.0033516043
VAKRANGEE.NS,286.296590909,278.825,15.4094142084
VEDL.NS,237.075000227,237.950005,15.165426216
VGUARD.NS,177.278409091,169.65,18.8346458277
VIDEOIND.NS,104.072727273,104.1,0.199841374727
VIJAYABANK.NS,51.7181818182,50.925,5.53155946418
VINATIORGA.NS,657.656818182,660.2,63.9608279384
VIPIND.NS,123.797727273,121.8,6.68886574444
VOLTAS.NS,330.672727273,331.15,11.6617465212
VRLLOG.NS,280.580681818,282.675,16.6571383396
VSTIND.NS,2403.85681818,2415.65,117.38662199
VTL.NS,1159.46136364,1116.35,83.5413599444
WABAG.NS,481.8875,482.425,12.9866708277
WABCOINDIA.NS,5227.72727273,5235.55,226.279319173
WELCORP.NS,80.1806818182,80.575,3.66923437786
WELSPUNIND.NS,72.3454545455,70.325,6.48282003472
WHIRLPOOL.NS,924.515909091,914.2,51.258750555
WIPRO.NS,469.120455455,466.824995,9.02975959565
WOCKPHARMA.NS,676.601136364,682.6,19.3346853302
WONDERLA.NS,353.975,350.675,15.0750699023
YESBANK.NS,1272.53295455,1291.225,109.599298156
ZEEL.NS,470.204545455,469.225,24.7550295998
ZEELEARN.NS,43.2931818182,44.675,3.43375160804
ZENSARTECH.NS,935.322727273,924.475,36.5876416016
ZYDUSWELL.NS,860.497727273,863.075,10.9537874651
Nifty50,8349.26814418,8318.974609,254.848522861
Nifty500,7181.08522725,7167.4750975,252.259236905
