,Start_Date,End_Date,Mean_Price,Volatility,Start_Price,End_Price,nday_Return,Mean_log_Return,Min_Day_Change,Max_Day_Change
OBEROIRLTY,2016-11-23,2016-12-06,280.85,0.03,274.35,296.75,0.08,0.01,-0.04,0.05
SRTRANSFIN,2016-11-23,2016-12-06,899.33,0.02,852.35,920.55,0.08,0.01,-0.02,0.05
CENTURYTEX,2016-11-23,2016-12-06,772.84,0.02,732.4,791.95,0.08,0.01,-0.03,0.03
TORNTPOWER,2016-11-23,2016-12-06,174.43,0.02,168.0,181.5,0.08,0.01,-0.01,0.04
TRENT,2016-11-23,2016-12-06,184.47,0.04,183.0,198.35,0.08,0.01,-0.01,0.11
TRIDENT,2016-11-23,2016-12-06,55.08,0.02,51.7,56.2,0.08,0.01,-0.02,0.05
CERA,2016-11-23,2016-12-06,2068.54,0.02,2031.1,2198.1,0.08,0.01,-0.03,0.03
ORISSAMINE,2016-11-23,2016-12-06,2133.97,0.02,2075.4,2241.1,0.08,0.01,-0.03,0.05
KOLTEPATIL,2016-11-23,2016-12-06,96.48,0.03,91.7,99.55,0.08,0.01,-0.02,0.07
ADANITRANS,2016-11-23,2016-12-06,58.77,0.06,56.15,60.65,0.08,0.01,-0.06,0.12
DHFL,2016-11-23,2016-12-06,243.97,0.03,232.1,252.6,0.08,0.01,-0.03,0.04
KAJARIACER,2016-11-23,2016-12-06,519.85,0.02,496.65,537.4,0.08,0.01,-0.02,0.04
UNITECH,2016-11-23,2016-12-06,4.76,0.04,4.35,4.7,0.08,0.01,-0.05,0.07
WELSPUNIND,2016-11-23,2016-12-06,66.39,0.03,63.0,68.0,0.08,0.01,-0.02,0.07
SREINFRA,2016-11-23,2016-12-06,77.86,0.02,74.95,80.9,0.08,0.01,-0.03,0.03
SUPREMEIND,2016-11-23,2016-12-06,858.69,0.02,802.15,872.35,0.08,0.01,-0.04,0.05
TATACOFFEE,2016-11-23,2016-12-06,115.73,0.01,111.7,119.55,0.07,0.01,-0.01,0.03
SPARC,2016-11-23,2016-12-06,319.69,0.01,311.1,332.45,0.07,0.01,-0.01,0.02
CARERATING,2016-11-23,2016-12-06,1393.82,0.02,1374.35,1472.55,0.07,0.01,-0.01,0.05
TATACHEM,2016-11-23,2016-12-06,472.78,0.02,460.3,494.95,0.07,0.01,-0.01,0.04
JINDALPOLY,2016-11-23,2016-12-06,347.21,0.03,340.9,367.25,0.07,0.01,-0.03,0.07
NMDC,2016-11-23,2016-12-06,120.34,0.03,114.95,123.65,0.07,0.01,-0.04,0.05
DBREALTY,2016-11-23,2016-12-06,39.8,0.01,38.1,40.9,0.07,0.01,-0.02,0.03
JKCEMENT,2016-11-23,2016-12-06,711.5,0.02,681.4,731.1,0.07,0.01,-0.03,0.04
RALLIS,2016-11-23,2016-12-06,200.16,0.02,188.25,201.9,0.07,0.01,-0.02,0.04
GRASIM,2016-11-23,2016-12-06,849.72,0.01,812.25,874.15,0.07,0.01,-0.0,0.02
ABIRLANUVO,2016-11-23,2016-12-06,1223.38,0.01,1164.7,1254.55,0.07,0.01,-0.01,0.03
MOTILALOFS,2016-11-23,2016-12-06,512.13,0.02,484.4,520.95,0.07,0.01,-0.02,0.06
GULFOILLUB,2016-11-23,2016-12-06,694.73,0.03,665.65,712.9,0.07,0.01,-0.03,0.06
