Date,index,Open,High,Low,Close,Volume,Adj Close,SMA20,SMA50,SMA200,BBAND,MACD,MACD_Signal,MACD_Hist,OBV,MFI,RSI,ADX,WILLR,DAILY_RETURN,OC_DAILY_RETURN
2013-11-29,2931,326.9,329.7,323.7,327.0,6291600,320.937,340.86,339.797,316.723,-0.00710897704011,-4.64849907949,-2.05781937132,-2.59067970816,147902200,43.4241032799,40.3745415487,14.4020457636,-76.1299435028,0.0105067985167,0.00553590650469
2013-12-02,2932,328.0,335.6,328.0,332.6,3457700,326.433,339.13,339.746,316.851,0.420413672799,-4.39230408617,-2.52471631429,-1.86758777188,151359900,49.0286511699,45.5047590688,13.8598283879,-60.3107344633,0.017125382263,0.0102462150176
2013-12-03,2933,332.0,333.35,329.6,331.0,2583300,324.862,337.7,339.76,316.947,0.229617969581,-4.26916209328,-2.87360547009,-1.39555662319,148776600,49.6177005508,44.3311336038,13.3563408248,-64.8305084746,-0.00481058328322,0.00363306085377
2013-12-04,2934,329.1,336.75,329.1,332.25,4038400,326.089,336.5325,339.685,316.9995,0.213154718727,-4.02431680434,-3.10374773694,-0.920569067397,152815000,50.5422772178,45.5134580368,12.4485349786,-61.2994350282,0.00377643504532,-0.00248868778281
2013-12-05,2935,338.0,340.0,334.0,335.35,8449200,329.132,335.8875,339.697,317.06175,0.340969604334,-3.5393318423,-3.19086455801,-0.348467284285,161264200,57.0833129293,48.4382074225,11.9162628212,-52.5423728814,0.00933032355154,0.0181447040145
2013-12-06,2936,335.8,336.0,331.0,332.4,4292100,326.236,335.3075,339.839,317.16825,-0.0559755440096,-3.35435123851,-3.22356189411,-0.130789344395,156972100,50.8325288167,45.9125423413,11.1041795982,-60.8757062147,-0.00879677948412,-0.0076483255365
2013-12-09,2937,344.0,344.0,334.6,336.35,5334200,330.113,335.075,340.193,317.26975,0.355037527757,-2.85609747498,-3.15006901029,0.293971535302,162306300,50.9712366727,49.694874758,11.2175625015,-48.4057971014,0.0118832731649,0.018183178689
2013-12-10,2938,337.0,341.25,333.05,335.25,3083600,329.034,334.95,340.446,317.3355,0.138856089843,-2.52092888561,-3.02424098535,0.503312099737,159222700,51.6706218331,48.6740737381,11.1076213965,-41.0934744268,-0.00327040285417,-0.0119056368046
2013-12-11,2939,338.65,338.65,326.3,328.1,2851600,322.016,334.73,340.556,317.37375,-0.449281497687,-2.79997424852,-2.97938763799,0.179413389463,156371100,51.2282076157,42.5550930895,10.4958255745,-66.3139329806,-0.0213273676361,-0.00818148010413
2013-12-12,2940,327.05,328.5,315.55,323.6,4083100,317.6,333.915,340.542,317.3905,-0.398783080887,-3.34566535338,-3.05264318106,-0.293022172317,152288000,50.7604307112,39.213822003,11.0446129737,-71.704745167,-0.0137153306919,-0.0241469816273
2013-12-13,2941,325.3,329.65,319.5,320.85,4530600,314.901,332.9625,340.392,317.38025,-0.324201294039,-3.95444709818,-3.23300396449,-0.72144313369,147757400,56.4385622555,37.2870806727,11.4010036045,-81.3708260105,-0.00849814585909,-0.00691616076231
2013-12-16,2942,320.85,323.5,311.5,313.35,4481500,307.54,331.3675,340.194,317.34025,-0.372488822672,-4.98463852674,-3.58333087694,-1.4013076498,143275900,58.0956555051,32.5847621054,12.4497791599,-94.3076923077,-0.0233754090697,-0.0184941577033
2013-12-17,2943,314.15,329.45,314.15,327.35,4246000,321.28,330.155,340.099,317.40425,0.220155609027,-4.6181544491,-3.79029559137,-0.827858857729,147521900,66.5291045563,46.2190783137,12.6358001906,-51.2307692308,0.0446784745492,0.0115105644907
2013-12-18,2944,327.95,332.0,323.6,327.75,3601700,321.673,329.3225,339.971,317.4565,0.245394485493,-4.2464856766,-3.88153360842,-0.364952068183,151123600,65.3688194645,46.5516811734,12.4896009788,-50.0,0.0012219337101,0.0221356196415
2013-12-19,2945,326.1,329.6,318.6,323.55,3157400,317.55,328.5675,339.784,317.50125,0.0465325591415,-4.24194192975,-3.95361527268,-0.288326657067,147966200,58.1716718277,43.5090368328,12.8375671728,-62.9230769231,-0.0128146453089,-0.00922678053988
2013-12-20,2946,324.0,329.9,319.95,327.9,3431300,321.82,328.1675,339.651,317.58925,0.176516129324,-3.84303224855,-3.93149866786,0.0884664193092,151397500,58.1064397085,47.3475172116,13.1198518319,-49.5384615385,0.0134445989801,0.00346340337105
2013-12-23,2947,327.9,330.25,325.65,328.25,2701200,322.163,327.7725,339.554,317.693,0.186494091409,-3.45878070631,-3.83695507555,0.378174369237,154098700,62.6341989507,47.6557034091,13.3312383491,-48.4615384615,0.00106739859713,0.00651940481669
2013-12-24,2948,329.0,331.9,324.25,325.65,2395500,319.612,327.7025,339.285,317.85425,-0.135825037548,-3.32572003127,-3.73470806669,0.408988035425,151703200,57.3018105306,45.5240096056,13.2791829383,-56.4615384615,-0.00792079207921,-0.00228606263812
2013-12-25,2949,325.65,325.65,325.65,325.65,0,319.612,327.89,339.016,318.08225,-0.0801371319385,-3.18357027126,-3.6244805076,0.440910236345,151703200,49.6101242258,45.5240096056,13.2308457712,-56.4615384615,0.0,-0.0051172382189
2013-12-26,2950,326.65,331.7,323.95,329.55,5098700,323.439,328.1875,338.634,318.2405,0.351074806201,-2.72480826247,-3.44454605858,0.719737796111,156801900,59.3016215529,49.4570730555,12.2943071835,-44.4615384615,0.0119760479042,0.00752341470904
2013-12-27,2951,331.5,331.5,327.85,329.2,2529500,323.096,328.2975,338.083,318.41625,0.227084309412,-2.36224762011,-3.22808637088,0.865838750776,154272400,56.6761708949,49.1143664424,11.4246642093,-40.5042016807,-0.00106205431649,0.00685766534593
